Google updates,Status,Store code,Business name,Address line 1,Address line 2,Address line 3,Address line 4,Address line 5,Sub-locality,Locality,Administrative area,Country / Region,Postal code,Primary phone,Additional phones,Website,Primary category,Additional categories,Sunday hours,Monday hours,Tuesday hours,Wednesday hours,Thursday hours,Friday hours,Saturday hours,Special hours,From the business,Opening date,Logo photo,Cover photo,Other photos,Labels,AdWords location extensions phone,Accessibility: Assisted listening devices (has_assisted_listening_devices),Accessibility: Assistive hearing loop (has_hearing_loop),Accessibility: Wheelchair accessible entrance (has_wheelchair_accessible_entrance),Accessibility: Wheelchair accessible parking lot (has_wheelchair_accessible_parking),Accessibility: Wheelchair accessible restroom (has_wheelchair_accessible_restroom),Accessibility: Wheelchair accessible seating (has_wheelchair_accessible_seating),Amenities: Gender-neutral restroom (has_restroom_unisex),Crowd: LGBTQ+ friendly (welcomes_lgbtq),Crowd: Transgender safespace (is_transgender_safespace),From the business: Identifies as Asian-owned (is_owned_by_asian),From the business: Identifies as Black-owned (is_black_owned),From the business: Identifies as Indigenous-owned (is_owned_by_indigenous),From the business: Identifies as LGBTQ+ owned (is_owned_by_lgbtq),From the business: Identifies as Latino-owned (is_owned_by_latinx),From the business: Identifies as disabled-owned (is_owned_by_disability),From the business: Identifies as veteran-owned (is_owned_by_veterans),From the business: Identifies as women-owned (is_owned_by_women),Parking: Free parking garage (has_parking_garage_free),Parking: Free parking lot (has_parking_lot_free),Parking: Free street parking (has_parking_street_free),Parking: On-site parking (has_onsite_parking),Parking: Paid parking garage (has_parking_garage_paid),Parking: Paid parking lot (has_parking_lot_paid),Parking: Paid street parking (has_parking_street_paid),Place page URLs: Appointment links (url_appointment),Place page URLs: Facebook (url_facebook),Place page URLs: Instagram (url_instagram),Place page URLs: Linkedin (url_linkedin),Place page URLs: Pinterest (url_pinterest),Place page URLs: Texting number (url_text_messaging),Place page URLs: Tiktok (url_tiktok),Place page URLs: Twitter (url_twitter),Place page URLs: WhatsApp (url_whatsapp),Place page URLs: Youtube (url_youtube),Planning: Appointment required (requires_appointments),Service options: Language assistance (languages_spoken): American Sign Language (american_sign_language_used),Service options: Language assistance (languages_spoken): Arabic (arabic_spoken),Service options: Language assistance (languages_spoken): Cantonese (cantonese_spoken),Service options: Language assistance (languages_spoken): English (english_spoken),Service options: Language assistance (languages_spoken): Filipino (filipino_spoken),Service options: Language assistance (languages_spoken): French (french_spoken),Service options: Language assistance (languages_spoken): German (german_spoken),Service options: Language assistance (languages_spoken): Haitian Creole (haitian_creole_spoken),Service options: Language assistance (languages_spoken): Hindi (hindi_spoken),Service options: Language assistance (languages_spoken): Italian (italian_spoken),Service options: Language assistance (languages_spoken): Korean (korean_spoken),Service options: Language assistance (languages_spoken): Mandarin (mandarin_spoken),Service options: Language assistance (languages_spoken): Polish (polish_spoken),Service options: Language assistance (languages_spoken): Portuguese (portuguese_spoken),Service options: Language assistance (languages_spoken): Romanian (romanian_spoken),Service options: Language assistance (languages_spoken): Russian (russian_spoken),Service options: Language assistance (languages_spoken): Spanish (spanish_spoken),Service options: Language assistance (languages_spoken): Ukrainian (ukrainian_spoken),Service options: Language assistance (languages_spoken): Vietnamese (vietnamese_spoken),Service options: Online appointments (offers_online_appointments),Service options: Onsite services (has_onsite_services)
,Not published,14561556807762939148,Project kismet,590 East Highway 105 #153,,,,,,Monument,CO,US,80132,,,,Real estate agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Suspended,14362502897108856806,PROJECT KISMET,3152 w Colorado blvd,,,,,,colorado springs,CO,US,80904,(612) 608-5041,,,Real estate agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
